source,target,weight
negro,balsámico,1571
brillante,ribete,1570
cereza,rcp,1568
fina,rcp,1568
intensidad,negro,1567
granate,boca,1566
balsámico,madura,1564
vainilla,ribete,1564
nota,entrada,1562
tempranillo,madura,1562
roble,tostado,1561
picota,cereza,1559
fina,negro,1559
fresco,boca,1558
tostado,crianza,1556
año,crianza,1550
nota,tempranillo,1547
cereza,fina,1544
fina,madura,1543
aroma,rcp,1542
fruta,especiado,1540
fruta,cacao,1536
brillante,aroma,1529
crianza,bodega,1524
brillante,limpio,1523
suave,acidez,1522
francés,rcp,1516
rojo,madera,1515
mineral,color,1515
sabroso,fruta,1509
picota,persistencia,1509
intenso,alta,1509
fruta,elaborado,1508
capa,toque,1506
fruta,uva,1506
largo,lágrima,1505
vainilla,madura,1505
suave,boca,1502
limpio,lágrima,1499
fruta,densa,1496
balsámico,ribete,1495
picota,balsámico,1491
crianza,toque,1487
tanino,toque,1486
nariz,toque,1485
cereza,roble,1481
color,uva,1479
brillante,madura,1478
granate,nariz,1478
persistencia,negro,1467
barrica,bodega,1465
mineral,boca,1464
volúmen,color,1464
rojo,persistencia,1463
boca,madera,1462
alta,balsámico,1460
fina,crianza,1458
pulido,tanino,1456
dulce,boca,1452
brillante,crianza,1452
lágrima,tempranillo,1450
granate,tanino,1448
rojo,uva,1447
cuerpo,tanino,1447
mineral,rojo,1447
francés,tempranillo,1446
coupage,fruta,1444
roble,final,1442
lágrima,densa,1441
botella,color,1436
especia,fina,1435
roble,botella,1430
brillante,nota,1429
dulce,color,1429
intenso,nota,1429
acidez,volúmen,1429
granate,ribete,1428
roble,fina,1428
cereza,entrada,1424
mineral,tanino,1421
alta,entrada,1421
nota,tostado,1421
cereza,largo,1421
nariz,uva,1420
largo,especia,1418
barrica,largo,1414
color,madera,1414
cereza,especia,1411
boca,uva,1411
nota,balsámico,1407
color,garnacha,1406
roble,aroma,1405
capa,intensidad,1400
agradable,fruta,1399
final,fina,1396
roble,ribete,1393
regaliz,color,1392
limpio,nota,1392
rojo,regaliz,1389
rojo,violáceo,1387
suave,capa,1385
picota,entrada,1384
francés,especia,1382
rojo,paladar,1381
intenso,roble,1378
boca,regaliz,1377
brillante,lágrima,1376
paladar,boca,1376
fruta,paladar,1375
alta,persistencia,1373
tostado,lágrima,1372
granate,acidez,1371
pulido,fruta,1368
barrica,toque,1368
rojo,elaborado,1365
tempranillo,ribete,1364
tostado,intensidad,1362
final,rcp,1361
untuoso,fruta,1357
acidez,paladar,1356
capa,fresco,1355
rubí,rojo,1355
francés,lágrima,1354
brillante,final,1354
rojo,sedoso,1352
paladar,color,1351
intensidad,ribete,1344
vainilla,aroma,1337
francés,tostado,1326
rojo,dulce,1326
mineral,capa,1323
acidez,botella,1322
barrica,persistencia,1321
largo,rcp,1318
color,densa,1318
francés,nota,1316
sedoso,color,1314
nariz,paladar,1313
capa,densa,1312
elaborado,crianza,1311
capa,volúmen,1310
volúmen,persistencia,1307
tanino,volúmen,1307
nariz,dulce,1305
largo,tostado,1303
sedoso,boca,1301
brillante,cereza,1298
granate,madura,1297
toque,ribete,1296
tanino,fresco,1295
sedoso,tanino,1294
tanino,dulce,1292
intenso,aroma,1292
botella,boca,1292
rcp,persistencia,1289
roble,garnacha,1288
tanino,paladar,1286
lágrima,toque,1286
nota,toque,1284
final,balsámico,1284
acidez,garnacha,1282
capa,paladar,1281
pulido,acidez,1280
aroma,paladar,1278
seco,intensidad,1278
boca,densa,1277
limpio,final,1273
entrada,fina,1272
tanino,seco,1271
granate,rojo,1270
mora,fruta,1269
brillante,alta,1267
aroma,toque,1267
fruta,cuero,1265
