palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
frescor,207,230,4260,0.002076775034623733,0.5650198750709824,0.017049014638059367,3
intrépido,115,59,4221,1.3622377041530805e-05,0.4899064500246184,0.0005928293195840823,2
producción,203,246,4160,0.004115630307171146,0.5702005730659025,0.013602684319903562,0
goloso,182,200,4141,0.0010449487258477055,0.5555555555555556,0.017790131563058264,3
mismo,233,265,4073,0.002833608292542722,0.5764774044032445,0.011728546397541366,0
gusto,234,242,4051,0.0022296317698782047,0.5688965122927387,0.013572743202783335,0
creer,238,267,4042,0.002929609371775184,0.5771461716937355,0.011804088168335041,0
fermentación,187,236,4029,0.0022098167175319066,0.5669515669515669,0.013550488672246688,0
gruesa,121,127,4013,0.00038512250797581354,0.5337982832618026,0.017588923575112343,3
bravo,108,60,3820,0.001706192288091167,0.5147439213657528,0.000552123823785547,2
bastante,198,205,3810,0.0007112706606338763,0.5571108622620381,0.01597565969993705,3
levadura,160,204,3783,0.0018689444933985455,0.5567991046446559,0.015644611478296905,3
casa,230,236,3742,0.001433763780543687,0.5646992054483542,0.011327375390962435,0
especiado,154,169,3723,0.0010534002449399161,0.5461031833150384,0.016277326899200337,3
piel,156,191,3713,0.000501390848473918,0.5527777777777778,0.01528787380071714,3
vieja,174,233,3694,0.0028280583060750065,0.5659840728100114,0.012069894779499483,0
bollería,159,181,3694,0.0007018712767396102,0.5497237569060773,0.014682635982709257,0
sabor,206,236,3665,0.0023335738409022678,0.5669515669515669,0.013366616846554326,0
oro,154,196,3623,0.0015039515314373335,0.5543175487465181,0.01472434381628864,3
tono,163,210,3588,0.0011173768361574252,0.5586749017405952,0.012960055512344216,0
malvasía,167,197,3572,0.001062131144171848,0.5546265328874025,0.013301422706254302,0
precio,238,235,3525,0.0032340084146253055,0.5669515669515669,0.011632599144211614,0
sutil,166,192,3495,0.0004536883390854219,0.5530850472484714,0.014091563513701656,3
ribete,141,173,3483,0.0012689740628579413,0.5473047304730473,0.014898562900435688,3
miel,145,170,3470,0.00047760152524899016,0.5464030752333883,0.01499233625708622,3
interesante,201,228,3458,0.0011260799684572015,0.5643788996029495,0.011499399828470924,0
especia,147,166,3457,0.0006125353868131805,0.5452054794520548,0.015199285870687796,3
plátano,130,172,3422,0.00151547557387626,0.5470038482682793,0.014232753484228781,3
anterior,241,240,3408,0.0036282908961542356,0.568246716162193,0.009585839993328658,0
varietal,170,223,3374,0.0027781130621149916,0.5627828054298643,0.012467809824426293,0
invencible,92,49,3371,1.3622377041530805e-05,0.4837141468157511,0.00039112041786466313,2
mineralidad,156,168,3352,0.0007232820829831928,0.5458036204059243,0.015286532620481788,3
osado,89,49,3318,1.74195880013152e-05,0.4837141468157511,0.00037692874057042145,2
épico,89,49,3318,1.74195880013152e-05,0.4837141468157511,0.0003769287405704219,2
sauvignon,164,184,3313,0.00074481304208872,0.5506364139457665,0.013745306240917354,0
lima,134,128,3266,0.00048586942949920963,0.5340848094471283,0.01657956161400214,3
límpido,98,131,3262,0.0006493009465169238,0.5326552462526767,0.014011936966095663,3
indomable,87,48,3257,1.1901115292594226e-05,0.4834791059280855,0.0003663452790665773,2
denodado,86,47,3226,9.370086833606644e-06,0.4832442933462846,0.00036247704537636835,2
esforzado,86,47,3226,9.370086833606644e-06,0.4832442933462846,0.00036247704537636813,2
afrutado,183,160,3225,0.001077975860380486,0.543418896777717,0.014461656711076085,3
refrescante,155,167,3218,0.0012915702826685979,0.5455043859649122,0.013876210781953679,3
etiqueta,169,202,3148,0.001154786488514868,0.5561766349916154,0.01030319854214026,0
memorable,86,49,3095,0.0004484555123112101,0.4844206426484908,0.00035736874012563325,2
integrada,140,179,3082,0.0006665032796599155,0.5491169977924945,0.012855844500567272,3
depósito,147,169,3059,0.0006430514285948035,0.5461031833150384,0.011378901414301625,0
diferente,179,230,3048,0.002631328576787811,0.5650198750709824,0.009145776916076934,0
treixadura,153,175,3024,0.0008653273131169534,0.5479074889867841,0.011372070180716579,0
zona,178,229,2975,0.003956580950378469,0.5646992054483542,0.009120774655607174,0
aguante,80,46,2956,4.809015624030841e-05,0.4802123552123552,0.000325085481454076,2
potencia,97,93,2889,0.009827624530118515,0.5242360379346681,0.002836128100929748,2
xarel,153,167,2849,0.0013280253629056311,0.5455043859649122,0.011591882030272305,0
rápida,100,115,2807,0.00046032811889732756,0.5284121083377589,0.012302452494458804,3
vitalidad,73,44,2786,3.4867323992775185e-05,0.42322415993194384,0.00029002233443657514,2
rojo,140,173,2785,0.0008394031935065852,0.5473047304730473,0.01025581125280927,3
corto,145,164,2762,0.0016549111128953368,0.5425299890948746,0.011967450112241172,3
maridaje,123,177,2695,0.0010497832115285302,0.5485115766262404,0.010230016224624685,3
postgusto,125,152,2634,0.0009014158563595059,0.5410549211528004,0.01194032041043517,3
fermentado,133,188,2634,0.0012569289203834498,0.5518580144204104,0.008887254225630088,0
tierra,132,152,2609,0.0008545986995865681,0.5410549211528004,0.010854019526353747,3
mantequilla,109,129,2573,0.0003506018807394525,0.5343716433941997,0.01191412782377048,3
entereza,65,43,2552,6.023923247237507e-05,0.42304421768707484,0.000264610158815428,2
estupendo,222,169,2550,0.0022573403569822173,0.5461031833150384,0.009452176041324938,0
opción,153,173,2540,0.0006294147407212098,0.5473047304730473,0.00941590849277718,0
mejorar,145,154,2535,0.000424700327316834,0.539587852494577,0.009229408718964934,0
caída,82,97,2532,0.00022247486556562903,0.5234087322461862,0.011081417431554639,3
finca,143,204,2520,0.0035166651040285262,0.5567991046446559,0.0076827758685901896,0
capa,103,138,2515,0.0007988857225640842,0.5369670804101457,0.010229981015056257,3
equilibrio,126,162,2513,0.0005993106403266651,0.544013121924549,0.010801526039669093,3
complejidad,157,174,2489,0.0012692773000612444,0.5476059438635112,0.010259713143771504,0
acero,123,140,2477,0.0005452914273911128,0.5355220667384284,0.009687668502286917,0
ácido,137,166,2475,0.0011738726285792141,0.5452054794520548,0.010134826017032543,3
recorrido,129,150,2460,0.0006054933484719747,0.5404671374253124,0.010835439252336068,3
restaurante,151,183,2456,0.01762411198528499,0.5503318584070797,0.008954674873669391,0
valle,124,144,2442,0.0032506254320084135,0.5387114239306985,0.004333459504488649,2
soler,131,201,2425,0.003973223077047767,0.5558659217877095,0.007526505246354399,0
repetir,150,174,2404,0.0010920719475580373,0.5476059438635112,0.009052482226334344,0
potente,119,158,2400,0.000569870143659925,0.5428259683578832,0.010027189781848104,3
batallar,59,42,2345,1.3144191783869044e-05,0.39235015772870663,0.00022452198606087557,2
vegetal,112,125,2326,0.0002269856941960401,0.5332261521972133,0.01138246462736895,3
heno,94,123,2310,0.000312177079442251,0.5326552462526767,0.010956380416559093,3
mango,104,132,2281,0.0008125475418374891,0.5352339967724583,0.010425496852355541,3
guerrear,57,41,2270,0.0,0.3921955065037446,0.0002169692744809247,2
tacto,146,144,2243,0.0009538523762054558,0.5387114239306985,0.009639810633752601,3
parecer,146,179,2238,0.0008534201543187573,0.5470038482682793,0.007528541038403469,0
aterciopelada,71,97,2216,0.0003994179091530171,0.5231335436382755,0.009985124612188638,3
posterior,100,161,2201,0.0010710312517454828,0.5416439847577572,0.008295057966151074,0
pelear,54,41,2162,0.0,0.3921955065037446,0.0002056537967768609,2
junto,108,134,2141,0.00030773258521406494,0.5337982832618026,0.009415201862360414,3
estructura,108,120,2132,0.00043387432171765507,0.5318011758417959,0.010766788025786197,3
alcohol,93,140,2088,0.0010517540350687862,0.5375472717450027,0.008719484526320794,3
corcho,109,109,2035,0.0002559176247406414,0.5267337215457915,0.008261705753371018,3
evolución,122,148,2029,0.0005993311997648785,0.539880629408573,0.0074251938690719985,0
duda,143,158,2016,0.0013272334975133679,0.5428259683578832,0.007021560476225742,0
catar,120,64,1970,0.0008015198974122902,0.5163466528282304,0.0011967314025275418,2
mandarina,76,114,1931,0.0004569465296801553,0.5301012253596165,0.009000205917103049,3
dulzor,91,135,1876,0.0005459872526588566,0.5360991379310345,0.00790250963923005,3
combatir,48,42,1871,0.002740371387256681,0.4228644283892903,0.00019342888239277017,2
mal,141,152,1866,0.0007093757814576001,0.5410549211528004,0.007042193093814032,0
burbuja,87,114,1866,0.0003809507140813031,0.5301012253596165,0.008559983141976533,3
claro,110,142,1854,0.0005355839325504547,0.5381287182260681,0.007937800545384273,3
rf,95,129,1839,0.0005854626114903139,0.5343716433941997,0.00637833637500627,0
matiz,108,158,1836,0.0007350375486122973,0.5428259683578832,0.007152960419717321,0
reciente,89,124,1829,0.00034977405816598984,0.5329405463310123,0.008378759210750155,3
mantener,130,142,1790,0.0002784636568675799,0.5381287182260681,0.006485974789166964,0
natural,108,133,1753,0.001085938736804141,0.5355220667384284,0.006738656952935397,0
contender,43,41,1752,0.0,0.3921955065037446,0.00016402732339161705,2
amigo,124,146,1750,0.001891580014095806,0.5392953929539296,0.006626192054515054,0
faltar,118,139,1744,0.0006981597338942458,0.537257019438445,0.006527824189201668,0
esperar,116,145,1743,0.0011498392398742157,0.5369670804101457,0.006421418050355593,0
naranja,85,124,1738,0.0006859622380482347,0.5329405463310123,0.0077522641813877104,3
momento,131,152,1735,0.0009459063645340651,0.5410549211528004,0.005932334265993809,0
tinto,112,147,1706,0.0015475674455202387,0.5375472717450027,0.006010646954907786,0
decir,123,150,1674,0.0005827522386168279,0.5384199134199135,0.005243103351253469,0
disputar,41,41,1674,0.0,0.3921955065037446,0.00015643067231975487,2
último,121,142,1624,0.0012488248573549342,0.5360991379310345,0.005282472138895403,0
enomatic,68,39,1620,0.0,0.47584887613582016,0.00041472230899444745,2
poca,113,130,1616,0.0008337312416405505,0.5326552462526767,0.006535021671489857,0
gustazo,65,39,1614,0.0,0.47584887613582016,0.0004092688237217169,2
estantería,65,39,1614,0.0,0.47584887613582016,0.0004092688237217168,2
expresivo,88,116,1608,0.0003174254495541215,0.5306666666666666,0.007606072800415979,3
cosa,124,165,1606,0.003471146406850158,0.5449069003285871,0.004566495130554868,0
calidad,113,139,1589,0.0014591911163489354,0.537257019438445,0.005553466928049988,0
pasar,107,142,1568,0.0006737930813593627,0.5381287182260681,0.005811808860677463,0
propia,98,143,1568,0.0014036569056776397,0.5384199134199135,0.005865869791786132,0
precarga,62,39,1561,0.0,0.47584887613582016,0.00039062647129332076,2
tarjeta,62,39,1561,0.0,0.47584887613582016,0.0003906264712933205,2
ría,73,93,1547,0.00016159845528369474,0.5242360379346681,0.007360001563131037,3
seguro,106,127,1546,0.0007399652484573202,0.5318011758417959,0.006155653757926009,0
palomino,90,113,1530,0.0005553434554914368,0.5298189563365282,0.006286578233032216,3
mayor,99,137,1520,0.0006109032198753229,0.5366774541531824,0.0055035865298747886,0
lenta,67,122,1514,0.00028963520303657947,0.5323702514713751,0.006238960507590571,3
ganar,96,129,1494,0.0006387865742306196,0.5323702514713751,0.005532825733087144,0
frío,101,128,1489,0.0009862785046745874,0.5320855614973262,0.00561329143749531,0
loureiro,81,114,1466,0.000742962441773885,0.5301012253596165,0.005717262448836794,0
estructurado,74,100,1465,0.00041355445646452016,0.5258985200845666,0.007454536657561201,3
elaborar,109,125,1462,0.0010118222362084995,0.5332261521972133,0.005485057784344393,0
abundante,61,112,1447,0.000574548788464198,0.5295369877594465,0.00615364656085312,3
carbónica,75,96,1427,0.0002542322389685942,0.525065963060686,0.0070074480437335605,3
encontrar,106,134,1419,0.0007848775689090973,0.5358104469574583,0.005079512162705845,0
enfrentar,34,41,1394,0.0,0.3921955065037446,0.00012978921459944518,2
hermano,91,121,1388,0.0004982703760536815,0.5301012253596165,0.005162292496115085,0
típico,91,116,1383,0.0006147156613579923,0.5306666666666666,0.00549134503307961,0
parcela,88,126,1371,0.0012842910612710144,0.531517094017094,0.004656373886856109,0
membrillo,65,101,1349,0.0001467062644062862,0.5264550264550265,0.006408375229595464,3
