palabra,frecuencia,degree,weighted_degree,betweenness,closeness,eigenvector,comunidad
fácil,44,50,475,0.008214939003424609,0.5578635014836796,0.03743418455201637,2
joven,39,48,473,0.005087686267285767,0.5236768802228412,0.03933450656301928,2
merlot,43,51,473,0.009425934752600746,0.5595238095238095,0.03636189184051858,2
potencia,19,34,468,0.002817937641663929,0.5497076023391813,0.0010556457438345712,0
año,50,50,465,0.008628502980818372,0.5578635014836796,0.033041959330258955,2
crianza,44,50,464,0.0025505366556680697,0.5266106442577031,0.033553644638813336,2
poder,43,63,458,0.0978109059907296,0.6006389776357828,0.025771763271867674,2
syrah,38,46,457,0.004176441692086247,0.5207756232686981,0.039086788978398936,1
sensación,32,47,453,0.0036496690311117437,0.5222222222222223,0.039009078089593335,1
anaranjado,28,44,445,0.0012570953590978623,0.5179063360881543,0.0380896731832048,1
sabroso,29,42,441,0.002789471688094967,0.5150684931506849,0.03911307884004465,1
fina,30,47,436,0.005085767382388159,0.5222222222222223,0.035371111168354105,1
gustar,42,48,420,0.00838763517111452,0.5545722713864307,0.034336700836729704,2
volúmen,30,42,408,0.0047439575443330145,0.5150684931506849,0.03437328662348834,1
leve,27,43,390,0.0036725199428578647,0.5164835164835165,0.032945547937695406,1
sangrado,32,39,378,0.0021009914157598766,0.5108695652173914,0.03126832383017449,2
grosella,25,36,373,0.0014518960388797688,0.5067385444743935,0.03406221678033301,1
postgusto,28,34,366,0.0006437971707058065,0.5040214477211796,0.03470161081059908,1
pequeña,39,51,366,0.03457876771088446,0.5784615384615385,0.019058130178222644,2
barrica,37,43,362,0.012654623801633402,0.5465116279069767,0.02561473982830919,2
cata,46,38,358,0.00845022728627234,0.5386819484240688,0.03053866229395039,2
mejor,39,39,337,0.004372093280103291,0.5402298850574713,0.027673626252565853,2
madura,25,33,333,0.004438846011872076,0.5481049562682215,0.0317098045535608,1
ácido,34,33,325,0.004857819650210831,0.5026737967914439,0.030862790313074328,1
marcada,24,33,315,0.0005164735139703851,0.5026737967914439,0.03005652765550628,1
variedad,25,44,289,0.032272571390065834,0.5662650602409639,0.016559426481573134,0
beber,33,32,288,0.002328916737552532,0.5295774647887324,0.026631673525195732,2
probar,41,35,286,0.004550780852123442,0.5340909090909091,0.02355592654433002,2
afrutado,24,31,277,0.0009689656748480278,0.5,0.025594759510101456,1
amargo,24,31,273,0.0012073630090469324,0.5,0.02489844616245425,1
elegante,28,28,265,0.00044924481720476714,0.49604221635883905,0.026820901137705314,1
copa,30,41,253,0.05708602313559472,0.5611940298507463,0.01347070126286694,0
balsámico,21,29,252,0.0020496215014931597,0.4973544973544973,0.024346913254503215,1
sedoso,16,27,243,0.00023893503242689728,0.49473684210526314,0.022783009376296327,1
